title,season,number_in_season,number_in_series,original_air_date,imdb_rating,imdb_votes,us_viewers_in_millions,air_year,air_month,weekday_num,season_episode,episodes_in_season_dataset
Simpsons Roasting on an Open Fire,1,1,1,1989-12-17,8.2,3734.0,26.7,1989,12,6,S01E01,13
Bart the Genius,1,2,2,1990-01-14,7.8,1973.0,24.5,1990,1,6,S01E02,13
Homer's Odyssey,1,3,3,1990-01-21,7.5,1709.0,27.5,1990,1,6,S01E03,13
There's No Disgrace Like Home,1,4,4,1990-01-28,7.8,1701.0,20.2,1990,1,6,S01E04,13
Bart the General,1,5,5,1990-02-04,8.1,1732.0,27.1,1990,2,6,S01E05,13
Moaning Lisa,1,6,6,1990-02-11,7.6,1674.0,27.4,1990,2,6,S01E06,13
The Call of the Simpsons,1,7,7,1990-02-18,7.9,1638.0,27.6,1990,2,6,S01E07,13
The Telltale Head,1,8,8,1990-02-25,7.7,1580.0,28.0,1990,2,6,S01E08,13
Life on the Fast Lane,1,9,9,1990-03-18,7.5,1578.0,33.5,1990,3,6,S01E09,13
Homer's Night Out,1,10,10,1990-03-25,7.4,1511.0,30.3,1990,3,6,S01E10,13
The Crepes of Wrath,1,11,11,1990-04-15,7.8,1539.0,31.2,1990,4,6,S01E11,13
Krusty Gets Busted,1,12,12,1990-04-29,8.3,1716.0,30.4,1990,4,6,S01E12,13
Some Enchanted Evening,1,13,13,1990-05-13,7.9,1567.0,27.1,1990,5,6,S01E13,13
"Bart Gets an ""F""",2,1,14,1990-10-11,8.2,1638.0,33.6,1990,10,3,S02E01,22
Simpson and Delilah,2,2,15,1990-10-18,8.3,1588.0,29.9,1990,10,3,S02E02,22
Treehouse of Horror,2,3,16,1990-10-25,8.2,1786.0,27.4,1990,10,3,S02E03,22
Two Cars in Every Garage and Three Eyes on Every Fish,2,4,17,1990-11-01,8.1,1457.0,26.1,1990,11,3,S02E04,22
Dancin' Homer,2,5,18,1990-11-08,7.5,1381.0,26.1,1990,11,3,S02E05,22
Dead Putting Society,2,6,19,1990-11-15,8.0,1366.0,25.4,1990,11,3,S02E06,22
Bart vs. Thanksgiving,2,7,20,1990-11-22,7.7,1324.0,25.9,1990,11,3,S02E07,22
Bart the Daredevil,2,8,21,1990-12-06,8.4,1522.0,26.2,1990,12,3,S02E08,22
Itchy & Scratchy & Marge,2,9,22,1990-12-20,8.1,1402.0,22.2,1990,12,3,S02E09,22
Bart Gets Hit by a Car,2,10,23,1991-01-10,7.8,1340.0,24.8,1991,1,3,S02E10,22
"One Fish, Two Fish, Blowfish, Blue Fish",2,11,24,1991-01-24,8.8,1687.0,24.2,1991,1,3,S02E11,22
The Way We Was,2,12,25,1991-01-31,8.2,1392.0,26.8,1991,1,3,S02E12,22
Homer vs. Lisa and the 8th Commandment,2,13,26,1991-02-07,8.0,1329.0,26.2,1991,2,3,S02E13,22
Principal Charming,2,14,27,1991-02-14,7.5,1241.0,23.9,1991,2,3,S02E14,22
"Oh Brother, Where Art Thou?",2,15,28,1991-02-21,8.2,1413.0,26.8,1991,2,3,S02E15,22
"Bart's Dog Gets an ""F""",2,16,29,1991-03-07,7.5,1264.0,23.9,1991,3,3,S02E16,22
Old Money,2,17,30,1991-03-28,7.6,1243.0,21.2,1991,3,3,S02E17,22
Brush with Greatness,2,18,31,1991-04-11,8.0,1257.0,20.6,1991,4,3,S02E18,22
Lisa's Substitute,2,19,32,1991-04-25,8.5,1684.0,17.7,1991,4,3,S02E19,22
The War of the Simpsons,2,20,33,1991-05-02,7.9,1246.0,19.7,1991,5,3,S02E20,22
Three Men and a Comic Book,2,21,34,1991-05-09,8.4,1379.0,21.0,1991,5,3,S02E21,22
Blood Feud,2,22,35,1991-07-11,8.0,1223.0,17.3,1991,7,3,S02E22,22
Stark Raving Dad,3,1,36,1991-09-19,8.6,1798.0,22.9,1991,9,3,S03E01,24
Mr. Lisa Goes to Washington,3,2,37,1991-09-26,7.7,1274.0,20.2,1991,9,3,S03E02,24
When Flanders Failed,3,3,38,1991-10-03,8.2,1302.0,22.8,1991,10,3,S03E03,24
Bart the Murderer,3,4,39,1991-10-10,8.7,1446.0,20.8,1991,10,3,S03E04,24
Homer Defined,3,5,40,1991-10-17,8.5,1452.0,20.6,1991,10,3,S03E05,24
"Like Father, Like Clown",3,6,41,1991-10-24,7.7,1262.0,20.2,1991,10,3,S03E06,24
Treehouse of Horror II,3,7,42,1991-10-31,8.2,1369.0,20.0,1991,10,3,S03E07,24
Lisa's Pony,3,8,43,1991-11-07,7.9,1243.0,23.0,1991,11,3,S03E08,24
